0	37486	43767	36082	44619	44544	42545	39147	45123	43512	39026
1	39208	36082	40925	39825	41129	43898	38298	40772	42671	44619
2	36178	43898	42850	39455	39818	36981	43972	42671	41761	45192
3	43898	41346	41278	44544	43905	37486	39026	45192	41196	41524
4	42671	42850	45013	36082	36784	41524	37486	45192	43905	38500
5	43905	36082	43898	39026	44544	45192	41129	44046	38646	39825
6	42671	40772	38451	37486	43898	42692	39147	41129	43512	36082
7	39982	37486	38412	45013	41524	39825	43305	43895	42671	39633
8	41278	43767	39982	42671	44046	45123	44757	41524	37486	38646
9	39825	45211	44410	41278	43898	39633	41524	39026	40925	39455
10	36082	36178	37486	45192	39026	43905	36981	39455	40211	43898
11	36082	43898	38219	41346	41129	44410	36981	43512	41761	41124
12	39475	39026	41524	43898	40772	41448	45192	37486	36784	41129
13	41129	36082	39475	39515	39857	45192	43898	44928	42692	44619
14	39982	43905	36082	36653	39475	39825	41196	44410	35291	39026
15	37486	40887	41346	43898	40815	41761	40993	35633	44282	41129
16	36082	43898	39825	39633	43767	37486	36784	44928	39475	44619
17	43898	39825	41278	39515	35390	43905	36082	43512	37486	41524
18	43898	41196	37486	36082	41124	36981	39825	39982	39410	39515
19	36987	36082	35974	39780	42816	41196	43438	36784	39633	43905
20	43972	39825	43898	45192	38181	35974	39147	40281	40887	44619
21	38451	41761	40887	37486	38072	43905	39515	35974	43438	44619
22	43898	35974	36082	36784	39780	43905	39515	38072	42541	44410
23	39825	41524	41129	40815	38451	36082	38412	39208	38298	39577
24	43898	36082	37486	43972	38072	44757	39633	40772	38412	37125
25	45013	41346	39147	43767	39818	39475	39515	37795	45123	35974
26	43905	43898	39825	44619	41761	39818	38469	39857	39475	43512
27	37486	36082	36987	43767	38298	36784	38646	44544	41346	43972
28	43898	39825	44410	44544	41278	36082	41129	45013	36981	43029
29	36082	44410	43905	41346	37486	45192	36178	39825	39633	43438
30	43905	41129	36178	39633	37486	35974	36981	45123	38072	38451
31	36082	37486	45072	39982	39475	43898	40925	39577	36784	41761
32	39982	36784	41129	43898	41196	37486	39515	39147	36987	38072
33	36082	41085	45191	41524	40772	43972	39857	44544	44410	39982
34	36082	36178	45192	36784	43398	38451	36987	43972	38072	43898
35	45192	44544	43905	39147	39633	43972	41124	38451	36178	41129
36	36082	37486	45123	43512	41346	38298	39026	42541	42671	39825
37	37486	39825	41761	39780	43905	36082	37738	40887	43512	43305
38	43898	39825	39515	38072	39410	45122	39633	35633	37031	41196
39	43972	37486	39026	42816	45123	43898	36178	36082	41129	44046
40	39825	39633	39577	45083	41346	43029	44410	41146	40887	36784
41	43905	36082	43898	37486	39825	43029	41124	36987	38451	42671
